VILLE_DEPART;PAYS_DEPART;VILLE_DESTINATION;PAYS_DESTINATION;DISTANCE_KM
Berlin;Allemagne;Alger;Algeria;1927.66
Berlin;Allemagne;Auckland;New Zealand;17741.48
Berlin;Allemagne;Berlin;Allemagne;8.0
Berlin;Allemagne;Bogota;Colombia;9429.51
Berlin;Allemagne;Bordeaux;France;1333.07
Berlin;Allemagne;Buenos Aires;Argentina;11887.22
Berlin;Allemagne;Compiègne;France;817.55
Berlin;Allemagne;Dubaï;Emirats;4624.02
Berlin;Allemagne;Helsinki;Finlande;1108.32
Berlin;Allemagne;Lille;France;745.42
Berlin;Allemagne;Lima;Peru;11089.69
Berlin;Allemagne;London;England;933.84
Berlin;Allemagne;Los Angeles;USA;9331.71
Berlin;Allemagne;Marseille;France;1185.94
Berlin;Allemagne;Melbourne;Australia;15966.2
Berlin;Allemagne;Mexico;Mexico;9518.84
Berlin;Allemagne;Montreal;Canada;6015.86
Berlin;Allemagne;New-York;USA;6401.96
Berlin;Allemagne;Osaka;Japan;8838.74
Berlin;Allemagne;Oslo;Norvège;839.66
Berlin;Allemagne;Pekin;China;7377.15
Berlin;Allemagne;Rabat;Maroc;2611.82
Berlin;Allemagne;Rio de Janeiro;Brazil;9988.48
Berlin;Allemagne;Sao Paulo;Brazil;10231.14
Berlin;Allemagne;Shanghai;China;8416.5
Berlin;Allemagne;Sidney;Australia;16089.15
Berlin;Allemagne;Stockholm;Suède;811.9
Berlin;Allemagne;Tokyo;Japan;8943.47
Berlin;Allemagne;Tunis;Tunisie;2099.01
Berlin;Allemagne;Vancouver;Canada;8002.93
Berlin;Allemagne;Washington;USA;6728.36
Berlin;Allemagne;Wellington;New Zealand;18132.94
London;England;Alger;Algeria;1656.55
London;England;Auckland;New Zealand;18327.05
London;England;Berlin;Allemagne;933.84
London;England;Bogota;Colombia;8496.58
London;England;Bordeaux;France;742.0
London;England;Buenos Aires;Argentina;11102.56
London;England;Compiègne;France;313.03
London;England;Dubaï;Emirats;5476.69
London;England;Helsinki;Finlande;1826.16
London;England;Lille;France;243.73
London;England;Lima;Peru;10159.87
London;England;London;England;8.0
London;England;Los Angeles;USA;8776.45
London;England;Marseille;France;1002.33
London;England;Melbourne;Australia;16898.58
London;England;Mexico;Mexico;8761.47
London;England;Montreal;Canada;5236.27
London;England;New-York;USA;5585.24
London;England;Osaka;Japan;9522.37
London;England;Oslo;Norvège;1155.53
London;England;Pekin;China;8162.04
London;England;Rabat;Maroc;2016.55
London;England;Rio de Janeiro;Brazil;9254.24
London;England;Sao Paulo;Brazil;9472.8
London;England;Shanghai;China;9217.19
London;England;Sidney;Australia;16989.32
London;England;Stockholm;Suède;1436.38
London;England;Tokyo;Japan;9586.22
London;England;Tunis;Tunisie;2107.65
London;England;Vancouver;Canada;7603.17
London;England;Washington;USA;5913.79
London;England;Wellington;New Zealand;18804.73
Los Angeles;USA;Alger;Algeria;10090.05
Los Angeles;USA;Auckland;New Zealand;10477.78
Los Angeles;USA;Berlin;Allemagne;9331.71
Los Angeles;USA;Bogota;Colombia;5598.11
Los Angeles;USA;Bordeaux;France;9249.01
Los Angeles;USA;Buenos Aires;Argentina;9831.47
Los Angeles;USA;Compiègne;France;9088.34
Los Angeles;USA;Dubaï;Emirats;13403.76
Los Angeles;USA;Helsinki;Finlande;9033.07
Los Angeles;USA;Lille;France;9006.0
Los Angeles;USA;Lima;Peru;6710.85
Los Angeles;USA;London;England;8776.45
Los Angeles;USA;Los Angeles;USA;8.0
Los Angeles;USA;Marseille;France;9710.11
Los Angeles;USA;Melbourne;Australia;12764.22
Los Angeles;USA;Mexico;Mexico;1954.42
Los Angeles;USA;Montreal;Canada;3974.89
Los Angeles;USA;New-York;USA;3944.28
Los Angeles;USA;Osaka;Japan;9209.1
