ID_PERSONNEL,ID_MATERIEL,ID_SITE,ID_DATE_ACHAT
KeyPers_Berlin_1230675,BERLIN_MATERIEL_INFO_202607280,Berlin,2026-07-28
KeyPers_Berlin_1230117,BERLIN_MATERIEL_INFO_202607281,Berlin,2026-07-28
KeyPers_Berlin_1232485,BERLIN_MATERIEL_INFO_202607282,Berlin,2026-07-28
KeyPers_Berlin_1233514,BERLIN_MATERIEL_INFO_202607283,Berlin,2026-07-28
KeyPers_Berlin_1231172,BERLIN_MATERIEL_INFO_202607284,Berlin,2026-07-28
KeyPers_Berlin_1233570,BERLIN_MATERIEL_INFO_202607285,Berlin,2026-07-28
KeyPers_London_1230157,LONDON_MATERIEL_INFO_202607280,London,2026-07-28
KeyPers_London_1230804,LONDON_MATERIEL_INFO_202607281,London,2026-07-28
KeyPers_LA_1230278,LA_MATERIEL_INFO_202607280,LA,2026-07-28
KeyPers_NewYork_1230060,NewYork_MATERIEL_INFO_202607280,NewYork,2026-07-28
KeyPers_NewYork_1232601,NewYork_MATERIEL_INFO_202607281,NewYork,2026-07-28
KeyPers_NewYork_1231245,NewYork_MATERIEL_INFO_202607282,NewYork,2026-07-28
KeyPers_NewYork_1232719,NewYork_MATERIEL_INFO_202607283,NewYork,2026-07-28
KeyPers_NewYork_1231222,NewYork_MATERIEL_INFO_202607284,NewYork,2026-07-28
KeyPers_NewYork_1230943,NewYork_MATERIEL_INFO_202607285,NewYork,2026-07-28
KeyPers_NewYork_1230388,NewYork_MATERIEL_INFO_202607286,NewYork,2026-07-28
KeyPers_NewYork_1231450,NewYork_MATERIEL_INFO_202607287,NewYork,2026-07-28
KeyPers_NewYork_1230540,NewYork_MATERIEL_INFO_202607288,NewYork,2026-07-28
KeyPers_Paris_1233087,Paris_MATERIEL_INFO_202607280,Paris,2026-07-28
KeyPers_Paris_1231292,Paris_MATERIEL_INFO_202607281,Paris,2026-07-28
KeyPers_Paris_1232917,Paris_MATERIEL_INFO_202607282,Paris,2026-07-28
KeyPers_Paris_1232169,Paris_MATERIEL_INFO_202607283,Paris,2026-07-28
KeyPers_Paris_1232775,Paris_MATERIEL_INFO_202607284,Paris,2026-07-28
KeyPers_Paris_1233244,Paris_MATERIEL_INFO_202607285,Paris,2026-07-28
KeyPers_Paris_1233631,Paris_MATERIEL_INFO_202607286,Paris,2026-07-28
KeyPers_Paris_1233006,Paris_MATERIEL_INFO_202607287,Paris,2026-07-28
KeyPers_Paris_1232901,Paris_MATERIEL_INFO_202607288,Paris,2026-07-28
KeyPers_Shanghai_1230993,Shanghai_MATERIEL_INFO_202607280,Shanghai,2026-07-28
KeyPers_Shanghai_1230482,Shanghai_MATERIEL_INFO_202607281,Shanghai,2026-07-28
KeyPers_Shanghai_1230462,Shanghai_MATERIEL_INFO_202607282,Shanghai,2026-07-28
KeyPers_Shanghai_1230689,Shanghai_MATERIEL_INFO_202607283,Shanghai,2026-07-28
