ID_PERSONNEL,ID_MATERIEL,ID_SITE,ID_DATE_ACHAT
KeyPers_Berlin_1234151,BERLIN_MATERIEL_INFO_202604290,Berlin,2026-04-29 00:00:00
KeyPers_Berlin_1230041,BERLIN_MATERIEL_INFO_202604291,Berlin,2026-04-29 00:00:00
KeyPers_Berlin_1232888,BERLIN_MATERIEL_INFO_202604292,Berlin,2026-04-29 00:00:00
KeyPers_Berlin_1230567,BERLIN_MATERIEL_INFO_202604293,Berlin,2026-04-29 00:00:00
KeyPers_Berlin_1233221,BERLIN_MATERIEL_INFO_202604294,Berlin,2026-04-29 00:00:00
KeyPers_Berlin_1233792,BERLIN_MATERIEL_INFO_202604295,Berlin,2026-04-29 00:00:00
KeyPers_London_1233946,LONDON_MATERIEL_INFO_202604290,London,2026-04-29 00:00:00
KeyPers_London_1230572,LONDON_MATERIEL_INFO_202604291,London,2026-04-29 00:00:00
KeyPers_London_1233644,LONDON_MATERIEL_INFO_202604292,London,2026-04-29 00:00:00
KeyPers_London_1231890,LONDON_MATERIEL_INFO_202604293,London,2026-04-29 00:00:00
KeyPers_London_1231058,LONDON_MATERIEL_INFO_202604294,London,2026-04-29 00:00:00
KeyPers_London_1231094,LONDON_MATERIEL_INFO_202604295,London,2026-04-29 00:00:00
KeyPers_London_1233332,LONDON_MATERIEL_INFO_202604296,London,2026-04-29 00:00:00
KeyPers_London_1230674,LONDON_MATERIEL_INFO_202604297,London,2026-04-29 00:00:00
KeyPers_LA_1232648,LA_MATERIEL_INFO_202604290,LA,2026-04-29 00:00:00
KeyPers_LA_1232804,LA_MATERIEL_INFO_202604291,LA,2026-04-29 00:00:00
KeyPers_LA_1231720,LA_MATERIEL_INFO_202604292,LA,2026-04-29 00:00:00
KeyPers_LA_1230734,LA_MATERIEL_INFO_202604293,LA,2026-04-29 00:00:00
KeyPers_LA_1232831,LA_MATERIEL_INFO_202604294,LA,2026-04-29 00:00:00
KeyPers_LA_1230852,LA_MATERIEL_INFO_202604295,LA,2026-04-29 00:00:00
KeyPers_LA_1232855,LA_MATERIEL_INFO_202604296,LA,2026-04-29 00:00:00
KeyPers_NewYork_1231799,NewYork_MATERIEL_INFO_202604290,NewYork,2026-04-29 00:00:00
KeyPers_NewYork_1232682,NewYork_MATERIEL_INFO_202604291,NewYork,2026-04-29 00:00:00
KeyPers_NewYork_1232493,NewYork_MATERIEL_INFO_202604292,NewYork,2026-04-29 00:00:00
KeyPers_NewYork_1231491,NewYork_MATERIEL_INFO_202604293,NewYork,2026-04-29 00:00:00
KeyPers_NewYork_1232218,NewYork_MATERIEL_INFO_202604294,NewYork,2026-04-29 00:00:00
KeyPers_NewYork_1232677,NewYork_MATERIEL_INFO_202604295,NewYork,2026-04-29 00:00:00
KeyPers_NewYork_1230542,NewYork_MATERIEL_INFO_202604296,NewYork,2026-04-29 00:00:00
KeyPers_NewYork_1231692,NewYork_MATERIEL_INFO_202604297,NewYork,2026-04-29 00:00:00
KeyPers_NewYork_1232923,NewYork_MATERIEL_INFO_202604298,NewYork,2026-04-29 00:00:00
KeyPers_Paris_1232362,Paris_MATERIEL_INFO_202604290,Paris,2026-04-29 00:00:00
KeyPers_Paris_1232165,Paris_MATERIEL_INFO_202604291,Paris,2026-04-29 00:00:00
KeyPers_Paris_1231951,Paris_MATERIEL_INFO_202604292,Paris,2026-04-29 00:00:00
KeyPers_Paris_1230614,Paris_MATERIEL_INFO_202604293,Paris,2026-04-29 00:00:00
KeyPers_Paris_1232952,Paris_MATERIEL_INFO_202604294,Paris,2026-04-29 00:00:00
KeyPers_Paris_1230470,Paris_MATERIEL_INFO_202604295,Paris,2026-04-29 00:00:00
KeyPers_Paris_1233853,Paris_MATERIEL_INFO_202604296,Paris,2026-04-29 00:00:00
KeyPers_Paris_1231151,Paris_MATERIEL_INFO_202604297,Paris,2026-04-29 00:00:00
KeyPers_Paris_1231799,Paris_MATERIEL_INFO_202604298,Paris,2026-04-29 00:00:00
KeyPers_Paris_1232598,Paris_MATERIEL_INFO_202604299,Paris,2026-04-29 00:00:00
KeyPers_Paris_1234615,Paris_MATERIEL_INFO_2026042910,Paris,2026-04-29 00:00:00
KeyPers_Paris_1234139,Paris_MATERIEL_INFO_2026042911,Paris,2026-04-29 00:00:00
KeyPers_Shanghai_1230476,Shanghai_MATERIEL_INFO_202604290,Shanghai,2026-04-29 00:00:00
KeyPers_Shanghai_1230104,Shanghai_MATERIEL_INFO_202604291,Shanghai,2026-04-29 00:00:00
KeyPers_Shanghai_1230319,Shanghai_MATERIEL_INFO_202604292,Shanghai,2026-04-29 00:00:00
KeyPers_Shanghai_1230427,Shanghai_MATERIEL_INFO_202604293,Shanghai,2026-04-29 00:00:00
KeyPers_Shanghai_1230875,Shanghai_MATERIEL_INFO_202604294,Shanghai,2026-04-29 00:00:00
KeyPers_Shanghai_1230787,Shanghai_MATERIEL_INFO_202604295,Shanghai,2026-04-29 00:00:00
KeyPers_Berlin_1230257,BERLIN_MATERIEL_INFO_202604300,Berlin,2026-04-30 00:00:00
KeyPers_Berlin_1230004,BERLIN_MATERIEL_INFO_202604301,Berlin,2026-04-30 00:00:00
KeyPers_Berlin_1231324,BERLIN_MATERIEL_INFO_202604302,Berlin,2026-04-30 00:00:00
KeyPers_Berlin_1231749,BERLIN_MATERIEL_INFO_202604303,Berlin,2026-04-30 00:00:00
KeyPers_London_1231045,LONDON_MATERIEL_INFO_202604300,London,2026-04-30 00:00:00
KeyPers_London_1233507,LONDON_MATERIEL_INFO_202604301,London,2026-04-30 00:00:00
KeyPers_London_1230143,LONDON_MATERIEL_INFO_202604302,London,2026-04-30 00:00:00
KeyPers_London_1233191,LONDON_MATERIEL_INFO_202604303,London,2026-04-30 00:00:00
KeyPers_London_1230950,LONDON_MATERIEL_INFO_202604304,London,2026-04-30 00:00:00
KeyPers_LA_1231616,LA_MATERIEL_INFO_202604300,LA,2026-04-30 00:00:00
KeyPers_NewYork_1232354,NewYork_MATERIEL_INFO_202604300,NewYork,2026-04-30 00:00:00
KeyPers_NewYork_1231825,NewYork_MATERIEL_INFO_202604301,NewYork,2026-04-30 00:00:00
KeyPers_NewYork_1232782,NewYork_MATERIEL_INFO_202604302,NewYork,2026-04-30 00:00:00
KeyPers_NewYork_1231080,NewYork_MATERIEL_INFO_202604303,NewYork,2026-04-30 00:00:00
KeyPers_NewYork_1230332,NewYork_MATERIEL_INFO_202604304,NewYork,2026-04-30 00:00:00
KeyPers_Paris_1233913,Paris_MATERIEL_INFO_202604300,Paris,2026-04-30 00:00:00
KeyPers_Paris_1233887,Paris_MATERIEL_INFO_202604301,Paris,2026-04-30 00:00:00
KeyPers_Paris_1232273,Paris_MATERIEL_INFO_202604302,Paris,2026-04-30 00:00:00
KeyPers_Paris_1233922,Paris_MATERIEL_INFO_202604303,Paris,2026-04-30 00:00:00
KeyPers_Shanghai_1230158,Shanghai_MATERIEL_INFO_202604300,Shanghai,2026-04-30 00:00:00
KeyPers_Shanghai_1230433,Shanghai_MATERIEL_INFO_202604301,Shanghai,2026-04-30 00:00:00
KeyPers_Shanghai_1230268,Shanghai_MATERIEL_INFO_202604302,Shanghai,2026-04-30 00:00:00
KeyPers_Berlin_1233763,BERLIN_MATERIEL_INFO_202605010,Berlin,2026-05-01 00:00:00
KeyPers_Berlin_1233699,BERLIN_MATERIEL_INFO_202605011,Berlin,2026-05-01 00:00:00
KeyPers_Berlin_1231798,BERLIN_MATERIEL_INFO_202605012,Berlin,2026-05-01 00:00:00
